user_id	level	avgtime	cishu	timecha	type1num	type2num	type1tuinum	type2tuinum
23279273	4	105.00 	35	217	1	0	0	0
23321602	4	27.86 	9	216	2	0	0	0
23332662	3	61.67 	22	215	2	1	0	0
23535998	4	37.86 	88	209	1	0	0	0
23696578	4	51.00 	89	202	1	0	0	0
23805309	5	45.00 	118	198	2	2	0	0
24097699	5	77.50 	120	189	2	4	0	0
24116242	4	54.17 	154	188	3	0	1	0
24256319	5	55.00 	176	184	1	1	0	0
24677495	4	36.67 	28	171	1	1	0	0
25377294	0	7.50 	54	152	1	0	0	0
25443941	3	62.14 	9	150	2	1	0	0
25446741	3	45.83 	33	150	1	0	0	0
25447875	5	18.33 	55	150	2	0	0	0
25534864	4	55.00 	59	147	5	0	0	0
25547534	3	105.00 	93	147	2	2	0	0
26256935	0	25.00 	7	134	2	1	0	0
2681538	0	5.00 	3	1370	6	0	0	0
27160908	3	48.33 	53	133	3	0	0	0
27986301	0	5.00 	25	132	4	0	1	0
2812949	4	56.00 	26	1305	6	1	3	0
30946880	5	106.43 	145	130	1	1	0	0
3104457	4	52.00 	37	1179	4	4	4	0
3109511	2	51.25 	3	1177	3	0	0	0
3127361	4	16.00 	48	1170	2	0	0	0
3332846	4	120.00 	25	1119	2	1	0	0
33542517	4	135.00 	90	129	1	3	0	0
33983461	2	25.00 	75	128	1	0	0	0
34039363	5	120.71 	93	128	1	0	0	0
3446953	4	43.33 	124	1099	1	0	0	0
34702025	5	91.43 	149	127	1	1	0	0
34737319	2	67.50 	8	127	3	12	0	0
35164907	4	80.71 	47	127	2	0	0	0
3538247	4	71.00 	80	1089	1	0	0	0
36794362	3	98.57 	6	125	2	0	0	0
3698428	0	21.67 	31	1075	1	0	1	0
3760301	4	46.25 	93	1072	1	1	0	0
3768785	6	124.29 	243	1072	2	0	0	0
3790597	5	80.00 	206	1071	2	0	1	0
3873141	3	70.00 	19	1068	3	0	0	0
3942119	5	45.71 	113	1066	1	6	0	0
41182278	3	100.83 	19	122	4	2	1	0
41968798	0	120.00 	3	119	1	0	0	0
42171560	3	95.71 	27	118	1	0	0	0
42547348	7	116.43 	83	117	1	3	0	0
42927035	5	79.29 	115	116	3	5	0	0
4300038	3	40.71 	9	1049	3	1	0	0
43138533	4	5.00 	33	115	2	0	0	0
43393347	4	33.33 	24	114	2	0	0	0
43924257	4	57.50 	71	111	1	1	0	0
43960902	4	45.00 	19	111	1	0	0	0
47737537	5	70.71 	81	74	2	0	0	0
48368729	4	99.17 	26	60	3	1	0	0
48595172	5	105.00 	62	54	4	8	0	0
48790612	3	9.00 	29	48	1	0	0	0
49207287	4	122.86 	22	31	1	1	0	0
49235287	5	115.71 	32	31	3	2	0	0
49255083	5	111.43 	43	30	6	0	2	0
49360426	4	63.57 	29	28	2	3	0	0
49455752	4	123.33 	7	26	2	2	0	0
4946544	6	24.00 	164	997	1	0	0	0
49510058	4	63.57 	25	25	3	2	0	0
49534684	3	67.50 	6	24	3	1	0	0
49564469	4	73.75 	28	23	1	9	0	0
49564749	3	86.67 	7	23	4	1	1	0
49694529	4	44.29 	7	20	4	1	0	0
49734709	3	70.00 	8	19	4	0	0	0
49869718	2	67.00 	7	16	3	4	0	0
49879924	4	30.00 	3	16	5	0	1	0
49881688	3	48.57 	7	16	2	0	0	0
49908687	4	101.43 	9	15	2	1	0	0
49926082	3	80.00 	7	14	1	1	0	0
49933740	1	44.00 	7	14	6	0	0	0
49940397	3	77.50 	9	14	1	1	1	0
49991217	3	17.50 	4	13	1	3	0	0
50003611	2	60.00 	7	13	1	1	0	0
50064399	2	68.00 	5	11	5	13	0	0
50076215	3	55.71 	8	10	3	1	0	0
50139446	3	71.25 	7	8	1	0	0	0
50148609	2	59.17 	7	8	3	7	0	0
50162805	3	77.86 	9	7	6	0	3	0
50177344	1	13.33 	5	7	2	0	0	0
50180200	3	57.50 	7	7	2	4	0	0
50198806	1	88.33 	4	6	3	19	0	0
50198834	2	75.00 	6	6	3	31	0	0
50237495	2	30.83 	6	5	3	1	0	0
50270416	3	126.00 	5	4	3	10	0	0
50360205	2	78.33 	3	2	3	0	0	0
5406374	6	51.43 	111	967	2	1	0	0
5905208	4	45.00 	45	916	1	0	0	0
6321836	5	130.00 	97	873	2	2	0	0
6484537	5	45.00 	122	860	1	1	0	0
6636171	4	92.50 	53	840	2	2	0	0
6670842	5	59.29 	219	837	2	1	0	0
6928722	5	66.43 	75	819	1	1	0	0
7075134	4	85.71 	110	806	2	0	0	0
7103498	5	135.00 	123	804	2	0	0	0
7128439	4	78.33 	61	802	3	0	0	0
7490346	6	85.00 	178	778	2	3	0	0
7735808	2	40.71 	9	763	3	3	0	0
7768729	4	91.67 	81	761	2	0	0	0
8065242	4	103.33 	90	748	2	0	0	0
8209071	6	45.00 	145	742	7	4	1	0
8254011	6	64.00 	215	741	1	0	0	0
8341735	4	56.67 	84	737	1	1	0	0
8524288	7	199.29 	184	731	1	1	0	0
9071319	4	154.29 	22	715	3	2	0	0
9224955	6	56.67 	143	713	2	1	0	0
9661748	3	117.00 	8	705	2	3	0	0
11298151	4	93.33 	50	632	1	1	0	0
11315763	4	7.50 	113	630	1	1	0	0
11622776	5	95.00 	117	605	2	1	0	0
11847238	4	36.25 	99	579	4	1	0	0
